name,platform,release year,genre,publisher,north america sales,europe sales,japan sales,rest of world sales,global_sales,release_date,critic_score,critic outof,critic count,user score,user count,developer,rating
Puyo Puyo 7,Wii,2009,Puzzle,Sega,0.00,0.00,0.05,0.00,0.05,,,,,,,,
Activision Hits: Remixed,PSP,2006,Misc,Activision,0.05,0.00,0.00,0.00,0.05,"Nov  8, 2006",75,100,10,tbd,,Digital Eclipse,E
Generator Rex: Agent of Providence,X360,2011,Action,Activision,0.04,0.01,0.00,0.00,0.05,"Nov  1, 2011",,,,4.5,4,Virtuos,E10+
Coraline,Wii,2009,Adventure,D3Publisher,0.05,0.00,0.00,0.00,0.05,"Jan 27, 2009",42,100,7,5.6,5,Papaya Studios,E10+
Flip's Twisted World,Wii,N/A,Platform,Unknown,0.05,0.00,0.00,0.00,0.05,"Oct 25, 2010",47,100,7,tbd,,Majesco Games,E
Young Justice: Legacy,PS3,2013,Adventure,Namco Bandai Games,0.04,0.00,0.00,0.00,0.05,"Nov 19, 2013",,,,4.8,10,Freedom Factory Studios,T
Happy Feet Two,X360,N/A,Adventure,Warner Bros. Interactive Entertainment,0.04,0.01,0.00,0.00,0.05,,,,,,,,
Kyoukai Senjou no Horizon Portable,PSP,2013,Adventure,Kadokawa Shoten,0.00,0.00,0.05,0.00,0.05,,,,,,,,
Brave: A Warrior's Tale,Wii,2009,Action,SouthPeak Games,0.05,0.00,0.00,0.00,0.05,"Aug 10, 2009",48,100,13,tbd,,Collision Studios,E10+
Pipe Mania,PSP,2008,Puzzle,Empire Interactive,0.05,0.00,0.00,0.00,0.05,"Sep 26, 2008",74,100,6,tbd,,Empire Interactive,E
Another Code R: A Journey into Lost Memories,Wii,2009,Adventure,Nintendo,0.00,0.02,0.03,0.00,0.05,TBA,66,100,27,,,Cing,
Minna no Ennichi,3DS,2012,Action,Namco Bandai Games,0.00,0.00,0.05,0.00,0.05,,,,,,,,
